批次,公司名称,类别,网站,联系邮箱,状态,备注
1,Aave,去中心化借贷协议,https://aave.com/,contact@aave.com,已发送,batch1 还尝试 integrators@aave.com
1,CertiK,区块链安全审计,https://www.certik.com/,marketing@certik.com,已发送,可丰富研究报告
1,Compound,去中心化借贷协议,https://compound.finance/,security@compound.finance,已发送,GitHub 公开安全团队邮箱
1,Ethena Labs,合成美元与收益型稳定币协议,https://www.ethena.fi/,finance@ethenalabs.xyz,已发送,稳定币资金费率与抵押品价格
1,Morpho,去中心化借贷协议,https://morpho.org/,security@morpho.org,已发送,机构化 Vault，风险敏感
1,OpenZeppelin,区块链安全与审计,https://www.openzeppelin.com/,contact@openzeppelin.com,已发送,batch1 还尝试 security@openzeppelin.com
1,Optimism Foundation,L2 生态系统与基金会,https://optimism.io/,retrofunding@optimism.io,已发送,RetroPGF 公共物品资助
1,Trail of Bits,安全审计公司,https://www.trailofbits.com/,info@trailofbits.com,已发送,研究型安全公司
1,Wintermute,做市商 / 流动性提供商,https://www.wintermute.com/,trade@wintermute.com,已发送,DeFi 流动性仓位
2,1inch,DEX 聚合器 / DeFi 交易基础设施,https://1inch.io/ / https://1inch.com/,info@1inch.com,已发送,批量发送完成
2,API3,第一方预言机 / dAPI 基础设施,https://api3.org/,contact@api3.org,已发送,批量发送完成
2,Centrifuge,RWA 代币化平台（发票、房地产、私募信贷）,https://centrifuge.io/,connect@centrifuge.io,已发送,批量发送完成
2,Chaos Labs,风险分析 / 预言机安全,https://chaoslabs.xyz/,support@chaoslabs.xyz,已发送,批量发送完成
2,Gauntlet,DeFi 风险管理 / 参数优化,https://gauntlet.network/,info@gauntlet.network,已发送,批量发送完成
2,Maple Finance,机构级链上借贷 / 资产管理,https://maple.finance/,partnerships@maple.finance,已发送,批量发送完成
2,Ondo Finance,RWA 代币化平台（代币化股票、美债、ETF）,https://ondo.finance/,support@ondo.finance,已发送,批量发送完成
2,ParaSwap,DEX 聚合器 / 流动性中间件,https://paraswap.io/,hello@paraswap.io,已发送,批量发送完成
2,Request Network,链上支付 / 发票协议,https://request.network/,hello@request.network,已发送,批量发送完成
2,Wormhole Foundation,跨链消息 / 互操作性基础设施,https://wormhole.com/ / https://wormhole.foundation/,hello@wormhole.foundation,已发送,批量发送完成
3,Circle,稳定币发行方与代币化货币市场基金,https://www.circle.com/,press@circle.com,已发送,批量发送完成
3,Curve Finance,稳定币与相关性资产 DEX,https://curve.fi/,info@curve.finance,已发送,批量发送完成
3,EigenLayer Foundation,再质押协议与 AVS 生态,https://www.eigenfoundation.org/,notices@eigenfoundation.org,已发送,批量发送完成
3,GMX,去中心化永续合约交易所,https://gmx.io/,comms@gmx.io,已发送,批量发送完成
3,Lido Finance,流动性质押协议龙头,https://lido.fi/,info@lido.fi,已发送,批量发送完成
3,Messari,加密数据研究与市场情报平台,https://messari.io/,hi@messari.io,已发送,批量发送完成
3,OpenZeppelin,区块链安全与审计公司,https://www.openzeppelin.com/,legal@openzeppelin.com,已发送,批量发送完成
3,Pyth Network,预言机网络（同行 / 数据源）,https://www.pyth.network/,data@dourolabs.xyz,已发送,批量发送完成
3,RedStone,模块化预言机提供商（同行 / 数据源）,https://redstone.finance/,core@redstone.finance,已发送,批量发送完成
3,Rocket Pool,去中心化流动性质押协议,https://rocketpool.net/,contact@rocketpool.net,已发送,批量发送完成
4,Anchorage Digital,机构级数字资产银行与托管,https://www.anchorage.com/,partnerships@anchorage.com,已发送,批量发送完成
4,Arbitrum Foundation / Offchain Labs,L2 生态系统与基金会,https://arbitrum.foundation/ / https://offchainlabs.com/,partnerships@offchainlabs.com,已发送,批量发送完成
4,Balancer Labs,AMM / 流动性协议,https://balancer.fi/,contact@balancerlabs.dev,已发送,批量发送完成
4,Base / Coinbase,L2 生态与机构基础设施,https://www.base.org/ / https://www.coinbase.com/,protocol-sales@coinbase.com,已发送,批量发送完成
4,BitGo,机构级数字资产托管,https://www.bitgo.com/,contact@bitgo.com,已发送,批量发送完成
4,Certora,形式化验证与智能合约安全,https://www.certora.com/,nooly@certora.com,已发送,批量发送完成
4,Copper,机构级数字资产托管与交易基础设施,https://copper.co/,partnerships@copper.co,已发送,批量发送完成
4,Dune Analytics,链上数据查询与可视化平台,https://dune.com/,enterprise@dune.com,已发送,批量发送完成
4,Euler Finance,去中心化借贷协议,https://www.euler.finance/,contact@euler.foundation,已发送,批量发送完成
4,LayerZero Foundation,跨链互操作性协议,https://layerzero.network/,partnerships@layerzero.network,已发送,批量发送完成
4,Nansen,链上分析与机构情报平台,https://nansen.ai/,hello@nansen.ai,已发送,批量发送完成
4,Optimism Foundation,L2 生态系统与基金会,https://optimism.io/ / https://optimism.foundation/,partnerships@optimism.io,已发送,批量发送完成
4,OtterSec,区块链安全审计（Solana / Rust / Move）,https://osec.io/,contact@osec.io,已发送,批量发送完成
4,Polygon Labs,L2 / 侧链生态系统,https://polygon.technology/,business@polygon.technology,已发送,批量发送完成
4,Solana Foundation,L1 生态系统与基金会,https://solana.org/ / https://solana.foundation/,grants@solana.org,已发送,批量发送完成
4,Zellic,区块链安全审计,https://www.zellic.io/,hello@zellic.io,已发送,批量发送完成
5,Babylon Labs,比特币质押与共享安全协议,https://babylonlabs.io/,security@babylonlabs.io,已发送,批量发送完成
5,Chainalysis,区块链数据分析与合规,https://www.chainalysis.com/,info@chainalysis.com,已发送,批量发送完成 备选 media@chainalysis.com
5,Frax Finance,稳定币与流动性协议,https://frax.finance/,webmaster@frax.finance,已发送,批量发送完成
5,Liquity,去中心化借贷协议（ETH 抵押零息贷款）,https://www.liquity.org/,security@liquity.org,已发送,批量发送完成
5,Nexus Mutual,去中心化保险互助组织,https://nexusmutual.io/,info@nexusmutual.io,已发送,批量发送完成
5,Sky / MakerDAO,去中心化稳定币协议,https://sky.money/ / https://makerdao.com/,bd@makerdao.com,已发送,批量发送完成
5,TRM Labs,区块链情报与金融犯罪合规,https://trmlabs.com/,contact@trmlabs.com,已发送,批量发送完成
6,Polymarket,去中心化预测市场,https://polymarket.com/,press@polymarket.com,已发送,批量发送完成 备选 support@polymarket.com
6,Puffer Finance,去中心化流动再质押协议,https://www.puffer.fi/,hello@puffer.fi,已发送,批量发送完成
6,Safe,智能合约钱包 / 账户抽象基础设施,https://safe.global/,support@safe.global,已发送,批量发送完成
6,ether.fi,流动再质押协议 / LRT,https://www.ether.fi/,support@ether.fi,已跟进,Ben 回复：BD 已收到通知，若有兴趣会联系
7,Ankr,去中心化节点基础设施,https://www.ankr.com/,support@ankr.com,已发送,批量发送完成
7,Drift Protocol,去中心化永续合约交易所（Solana）,https://drift.trade/,support@driftapp.io,已发送,批量发送完成
7,Fireblocks,机构级数字资产托管与 MPC 钱包基础设施,https://www.fireblocks.com/,info@fireblocks.com,已发送,批量发送完成
7,Flashbots,MEV 研究与区块构建基础设施,https://www.flashbots.net/,info@flashbots.net,已发送,批量发送完成
7,Immunefi,Web3 漏洞赏金与安全平台,https://immunefi.com/,support@immunefi.com,已发送,批量发送完成
7,QuickNode,区块链节点与 API 基础设施,https://www.quicknode.com/,support@quicknode.com,已发送,批量发送完成
7,Rabby Wallet,智能合约钱包 / EVM 钱包,https://rabby.io/,support@rabby.io,已发送,批量发送完成
